1,19,2
1,7,5
1,9,2
1,3,2
1,2,1
1,6,4
1,18,4
1,10,4
1,3,3
1,2,4
1,16,2
1,18,3
2,17,1
2,1,1
2,20,3
2,8,1
2,17,2
2,10,5
2,3,4
2,5,3
3,4,4
3,4,3
3,11,1
3,14,3
3,16,1
3,10,1
3,15,4
3,9,4
3,8,4
3,10,3
4,2,2
4,11,3
4,7,4
4,19,2
4,6,2
4,8,5
4,15,4
4,12,5
4,19,4
4,2,1
5,18,1
5,5,2
5,20,3
5,1,2
5,7,4
5,1,3
5,8,2
5,16,1
6,20,2
6,10,1
6,4,2
6,7,4
6,5,2
6,9,3
6,19,1
6,19,2
6,10,5
6,19,2
7,19,2
7,2,4
7,12,5
7,14,1
7,20,4
7,6,2
7,1,4
7,3,2
7,12,2
7,11,1
7,7,2
7,16,2
8,6,2
8,19,2
8,6,4
8,5,1
8,10,4
8,4,1
8,11,5
8,13,2
8,8,1
8,1,4
9,10,5
9,9,5
9,1,2
9,6,2
9,5,1
9,13,5
9,6,4
9,10,1
10,1,1
10,20,3
10,8,4
10,8,1
10,3,5
10,16,1
10,2,2
10,14,3
10,5,3
10,10,5
11,9,1
11,14,4
11,13,5
11,13,5
11,3,5
11,18,3
11,14,3
11,5,3
12,17,2
12,12,5
12,16,2
12,7,1
12,3,5
12,3,1
12,2,2
12,16,1
13,7,2
13,5,4
13,2,4
13,4,5
13,18,4
13,14,3
13,7,1
13,14,3
13,18,2
13,3,1
14,2,1
14,8,1
14,9,5
14,1,2
14,10,5
14,10,4
14,8,5
14,3,4
14,1,5
14,4,4
14,18,4
14,4,4
15,2,2
15,13,4
15,14,1
15,8,5
15,17,1
15,8,4
15,6,2
15,4,3
15,13,5
15,3,5
15,5,1
15,1,2
16,10,5
16,1,1
16,17,2
16,15,4
16,6,1
16,20,3
16,3,3
16,6,5
16,18,4
16,11,4
17,19,5
17,3,2
17,1,5
17,16,4
17,2,1
17,15,2
17,16,4
17,3,2
17,6,2
18,5,1
18,4,4
18,10,4
18,17,2
18,2,1
18,8,2
18,12,4
18,9,4
18,17,1
18,13,4
19,14,1
19,8,1
19,2,5
19,1,2
19,11,5
19,9,2
19,16,2
19,12,1
19,13,4
19,10,3
19,14,5
19,10,3
20,15,2
20,5,1
20,13,5
20,5,1
20,20,1
20,4,1
20,1,5
20,18,4
20,4,2
20,10,1
20,5,5
